Question,Answer,NOTE,Ref
เมื่อไหร่ที่ต้องถอนฟัน,เมื่อฟันอยู่ในสภาพที่ไม่สามารถบูรณะได้ หรือเมื่อได้รักษาฟันแล้วแต่ไม่ตอบสนองต่อการรักษา,,
ถอนฟันจำเป็นต้องทำหรือไม่?,"การถอนฟันมักเป็นทางเลือกสุดท้ายในการรักษาโรคต่างๆ 
หากรักษาแล้วไม่ได้ผลหรือมีความจำเป็นที่ไม่สามารถเลี่ยงได้จะจำเป็นต้องถอนฟันซี่นั้นออก",,
หลังถอนฟันกัดผ้าก๊อซแล้วแต่ยังมีเลือดซึมต้องทำยังไง,กัดผ้าก๊อซสะอาดเป็นเวลา 30 ถึง 60 นาที ไม่ให้บ้วนเลือดหรือน้ำลาย และประคบด้วยน้ำแข็งบริเวณแก้มข้างที่ถอนฟัน,,
หลังถอนฟันมีกลิ่นปากเหม็นปกติไหม,อาจเกิดกลิ่นปากได้เป็นปกติ ,,
หลังถอนฟันมีกลิ่นปากเหม็น เกิดขึ้นจากอะไร,"กลิ่นปากอาจเกิดได้จากแผลในช่องปากที่อาจจะมีหนองหรือของเสียต่างๆสะสม 
อีกทั้งยังเกิดจากการสะสมของเศษอาหารได้อีกด้วย",,
กลิ่นปากเหม็นหลังถอนฟันเกิดจากอะไร,กลิ่นปากหลังถอนฟันสามารถเกิดจากหนองหรือของเสียต่างๆที่สะสมเป็นจำนวนมาก,,
หลังถอนฟันถ้ามีเลือดออกในปากควรจะกลืนหรือบ้วนทิ้ง,ควรกัดผ้าก๊อซแทนการบ้วนทิ้งหรือกลืน,,
ถอนฟันเจ็บไหม,ระหว่างการถอนฟันจะไม่ค่อยมีความเจ็บเนื่องจากมีการฉีดยาชา,,
หลังถอนฟันสามารถใส่รีเทนเนอร์ได้ปกติมั้ย,ไม่ควรใส่เพราะ อาจทำให้ฟันเสียรูป เป็นแผลในช่องปาก จนเกิดฟันผุเนื่องจากทำความสะอาดได้ไม่ทั่วถึงอีกด้วย,,"https://homeydentalclinic.com/everything-about-molar-teeth/#:~:text=สำหรับใครหลายคนที่,ได้ไม่ทั่วถึงอีกด้วย"
ถ้าฟันใกล้เส้นประสาทอันตรายมากมั้ย,,,
หลังถอนฟันต้องแปรงฟันใกล้แผลมั้ย,สามารถแปรงฟันได้ตามปกติแต่ควรระมัดระวังบริเวณแผลเป็นพิเศษ,,
มีโอกาสเกิดอาการแทรกซ้อนใดๆหรือไม่ หลังจากได้รับการรักษา,"อาจพบอาการติดเชื้อหลังถอนฟันได้ ซึ่งมักพบในผู้ที่มีโรคประจำตัว ผู้สูงอายุ 
ในบางกรณีทันตแพทย์จะจ่ายยาปฏิชีวนะเพื่อป้องกันการติดเชื้อไว้ก่อน แต่ถ้ามีอาการติดเชื้อ ปวด บวม แดง มีหนอง เป็นไข้ แนะนำให้กลับมาพบทันตแพทย์อีกครั้ง",,"https://www.siphhospital.com/th/news/article/share/extraction-of-teeth#:~:text=ปัจจัยเสี่ยงที่อาจเกิดภายหลังการถอนฟัน&text=อาจพบอาการติดเชื้อ,มาพบทันตแพทย์อีกครั้ง"
ถอนฟันใช้เวลานานไหม,ถอนฟันใช้เวลาไม่นาน สามารถเสร็จได้ภายในไม่กี่ชั่วโมง,,
แผลจากการถอนฟันจะเจ็บกี่วัน,แผลจากการถอนฟันปกติจะมีความเจ็บปวดอยู่ประมาณ12ชั่วโมงหลังถอนและลดระดับลงเรื่อยๆ,,
หลังถอนฟันสามารถกินของแข็งได้ไหม,หลังถอนฟันควรหลีกเลี่ยงอาหารที่แข็ง,,
หลังถอนฟันต้องกินยาแก้ปวดไหม,สามารถรับประทานยาแก้ปวดได้หากมีอาการปวดบริเวณที่ทำการรักษา,,
หลังถอนฟันต้องกินยาแก้ปวดถึงตอนไหน,รับประทานยาแก้ปวดหลังถอนฟัน 1 – 2 ชั่วโมง ก่อนที่ยาชาจะหมดฤทธิ์,,"https://www.siphhospital.com/th/news/article/share/extraction-of-teeth#:~:text=รับประทานอาหารอ่อน%20ๆ%20ภายหลัง,ทำความสะอาดได้ตามปกติ"
ถอนฟันแล้วต้องใส่ฟันปลอมทดแทนไหม จำเป็นแค่ไหน,บางกรณีแพทย์อาจแนะนำให้ใส่ฟันปลอมทกแทน เนื่องจากฟันที่ถอนไปนั้นอาจมีหน้าที่สำคัญในชีวิตประจำวัน,,
ถอนฟันจำเป็นต้องทำหรือไม่,จำเป็นต้องถอนฟันหากฟันมีปัญหารุนแรงจนไม่สามารถใช้วิธีรักษาแบบอื่นได้ ทั้งนี้ทั้งนั้นการถอนฟันขึ้นอยู่กัยการพิจารณาของทันตแพทย์,,
ข้อห้ามหลังการถอนฟัน,"1. ห้ามดูดแผลหรือสัมผัสที่แผล
2. ห้ามบ้วนน้ำหรือน้ำลายหลังถอนฟัน1-2ชั่วโมง
3.ห้ามสูบบุหรี่ กินหมาก และดื่มสุรา ภายใน 24 ชั่วโมง
4. ห้ามออกกำลังกาย ภายใน 24 ชั่วโมง
5. ห้ามใช้น้ำยาบ้วนปากที่มีแอลกอฮอล์ หรือบ้วนน้ำแรงๆ",,
อาการที่บ่งบอกว่าถึงเวลาที่ต้องถอนฟัน,มีอาการฟันผุมาก ทะลุโพรงประสาทฟันหรือฟันที่มีหนองปลายรากฟัน ฟันมีอาการของโรคปริทันต์อย่างรุนแรง ฟันหรือขากรรไกรหักจากอุบัติเหตุที่กระเทือนฟัน ,,
กรณีถอนฟันแล้ว ต้องทำรากฟันเทียมไหม,สามารถฝังรากฟันเทียมทดแทนฟันซี่เดิม ขึ้นอยู่กับการพิจารณาจากทันตแพทย์ผู้เชี่ยวชาญ,,
ขั้นตอนการถอนฟัน,"1. ทันตแพทย์ทำการตรวจวินิจฉัยและวางแผนการรักษา จะทำการยืนยันแผนการรักษากับผู้ป่วย โดยระบุตำแหน่งฟันที่จะถอนในครั้งนี้ให้ชัดเจนกับผู้ป่วยหรือญาติ
2. ฉีดยาชาเฉพาะที่บริเวณฟันที่ต้องการกำจัดออก รอประมาณ 5 - 10 นาที เมื่อทดสอบว่ายาชาออกฤทธิ์
3. ถอนฟันออกตามแผนการรักษาที่วางไว้ กรณีที่ถอนยากอาจต้องใช้เครื่องกรอฟันสำหรับผ่าตัดร่วมด้วย เมื่อนำฟันออกแล้วให้กัดผ้าก๊อซเพื่อห้ามเลือด
4. กรณีเลือดออกมาก เหงือกขยับได้หรือมีภาวะการแข็งตัวของเลือดที่ผิดปกติ จะทำการห้ามเลือดด้วยการใส่วัสดุช่วยการแข็งตัวของเลือดร่วมกับการเย็บปิดแผล และให้ผู้ป่วยกัดผ้าก๊อซให้แน่นเพื่อห้ามเลือด 
หรืออาจต้องใส่เครื่องมือคงสภาพร่วมกับวัสดุคงสภาพ ช่วยห้ามเลือดอีกชั้นหนึ่ง
5. บางกรณีหลังถอนฟัน ทันตแพทย์อาจพิจารณาตกแต่งลักษณะของกระดูกเบ้าฟันให้เหมาะสมกับการใส่ฟันควบคู่ไปด้วย เพื่อที่จะไม่ต้องมารับการผ่าตัดตกแต่งสันกระดูกในภายหลัง
6. หลังถอนฟันผู้ป่วยจะได้รับยาแก้ปวด หรืออาจได้ยาปฏิชีวนะชนิดรับประทานร่วมด้วย
7. ทันตแพทย์จะให้คำแนะนำและข้อปฏิบัติเกี่ยวกับการดูแลรักษาหลังการถอนฟันในทุกครั้งหลังถอนฟันเสร็จ",,https://www.siphhospital.com/th/news/article/share/extraction-of-teeth
หลังถอนฟันควรกัดผ้าก๊อซนานเท่าไหร่,กัดผ้าก๊อซนาน 1 - 2 ชั่วโมง ,,
ฟันผุสามารถกรอหรืออุดแทนถอนฟันได้มั้ย,,,
ฟันผุเกิดจากอะไร,"ฟันผุ เกิดจากการแบคทีเรียที่อาศัยอยู่ในช่องปากรวมตัวกับเศษอาหารและน้ำลายสะสมกันจนเป็นคราบเหนียว 
โดยแบคทีเรียเหล่านี้จะเปลี่ยนสภาพน้ำตาลและแป้งให้เป็นกรด มีฤทธิ์ทำลายแร่ธาตุที่ผิวฟัน จนก่อให้เกิดเป็นรู",,
ฟันผุขนาดไหนถึงต้องถอนออก,หากฟันผุทะลุโพรงประสาท หรือแตกเป็นรูไปถึงรากฟัน เหลือพื้นที่เนื้อฟันน้อยไม่เพียงพอต่อการรักษาด้วยการครอบฟัน และฟันซี่นั้นเป็นโรคเหงือกรุนแรง,,
หลังถอนฟันต้องกินน้ำเย็นหรือน้ำร้อน,สามารถดื่มได้ทั้งน้ำเย็นและน้ำร้อน ,,
หลังถอนฟันทานอะไรได้เมื่อไหร่,ไม่ควรรับประทานอาหารจนกว่าะลือดหยุดไหล และรับประทานอาหารอ่อนๆในช่วง2วันแรก,,
หลังถอนฟันนานไหมกว่าเลือดจะหยุดไหล,เลือกจะหยุดไหลประมาณ2ชั่วโมงหลังถอนฟัน,,
ถอนฟันสามารถกินอะไรได้บ้าง,สามารถทานอาหารได้ปกติ แต่ควรทานเป็นอ่อนในช่วง 2-3วันหลังถอนและหลีกเลี่ยงอาหารร้อนจัด หรือเผ็ดจัด,,
อาหารที่ควรหลีกเลี่ยงเมื่อถอนฟัน,อาหารที่ร้อนจัดหรือมีรสชาติเผ็ด,,
ถอนฟันแล้วดูแลตัวเองอย่างไรดี,รับประทานอาหารอ่อน ๆ  แปรงฟันทำความสะอาดได้ตามปกติ,,
ทำไมถอนฟันแล้วไม่ควรกินอาหารร้อนหรือเผ็ด,อาหารร้อนหรือเผ็ดอาจะทำให้เกิดการระคายเคืองบริเวณที่ถอนฟันได้,,
แผลจากการถอนฟันกี่วันหาย,แผลจะมีขนาดเล็กลงภายใน1สัปดาห์ และหายสนิทภายใน1เดือน ,,
การเตรียมตัวก่อนเข้ารับการถอนฟันมีอะไรบ้าง,รับประทานอาหารให้เรียบร้อย นอนหลับพักผ่อนอย่างเพียงพอ ให้ข้อมูลประวัติสุขภาพที่่ถุกต้องและครบถ้วน,,
อาการข้างเคียงที่สามารถพบได้หลังจากถอนฟัน,มีอาการปวดบวมแดง เลือดไหลไม่หยุด คลื่นไส้ มีไข้ หนาวสั่น ไอ หายใจไม่ออก เจ็บหน้าอก,,
ถอนฟันแล้วเลือดไหลไม่หยุด ต้องทำอย่างไร,ควรกัดผ้าก๊อซ และใช้น้ำแข็งห่อผ้าหรือเจลเย็นประคบนอกปากบริเวณที่ถอนฟัน,,
ข้อควรพึงระวังหลังจากถอนฟัน,ควรกััดผ้าก๊อซจนกว่าเลือดจะหยุด ไม่ใช้น้ำยาบ้วนปาก ไม่ดุนแผล รับประทานอาหารอ่อนๆ หลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ และการสูบบุหรี่,,
เลือดไหลแค่ไหนถือว่าไหลมาก,,,
ถอนฟันแล้ว ใส่ฟันปลอมทับได้หรือไม่,สามารถใส่ฟันปลอมทดแทนได้ขึ้นอยู่กับคำแนะนำและการพิจารณาจากทันตแพทย์ผู้เชี่ยวชาญ,,
