Question,Answer,NOTE,Ref
การทำรากฟันเทียมคืออะไร,"คือวัสดุที่มีรูปร่างคล้ายรากฟันทำจากไททาเนียมทดแทนรากฟันจริง 
ใช้สำหรับฝังลงไปในกระดูกขากรรไกรเพื่อช่วยในการทำฟันเทียมแบบติดแน่น และแบบถอดได้",,
ทำไมต้องรักษารากฟัน,สาเหตุฟันที่ต้องรักษารากฟันส่วนมากเกิดจากฟันผุลึกเป็นโพลง ประสาทฟัน ฟันที่ร้าว แตกหัก หรือสึกจนทะลุโพรงประสาทฟัน หรือฟันที่ได้รับแรงกระแทกจากอุบัติเหตุ,,
รากฟันเทียมช่วยอะไรได้บ้าง,รากฟันเทียมสามารถช่วยป้องกันการสูญเสียฟัน และกระดูกข้างเคียง ให้ความสวยงามเพิ่มความมั่นใจ ช่วยการเคี้ยวได้ดีและช่วยปัญหาออกเสียงไม่ชัด,,
มีโอกาสเกิดอาการแทรกซ้อนใดๆหรือไม่ หลังจากได้รับการรักษารากฟันเทียม,อาจมีอาการเจ็บฟันข้างเคียง อาการชา มีเลือดออกที่โพรงจมูก มีหนองบริเวณฟัน เหงือก ริมฝีปาก หรือลิ้น และมีไข้ร่วมด้วยหรือรู้สึกว่าตัวรากเทียมโยก เป้นอาการข้างเคียงจากการผ่ารากฟัน,,
รากฟันเทียม เหมาะกับใคร,การทำรากฟันเทียมเหมาะกับผู้ที่สูญเสียฟันแท้ไป,,
หลังผ่าตัดรากฟันเทียมสามารถดื่มแอลกอฮอล์ได้มั้ย,ไม่ควรดืมแอลกอฮอล์หลังผ่าตัด,,
รากฟันเทียมมีกี่แบบ,รากฟันเทียมมี3ชนิดหลักๆ คือการฝังรากเทียมทั่วไป การฝังรากเทียมทันทีหลังจากทำการถอนฟันธรรมชาติออก และการฝังรากฟันเทียมแบบพร้อมครอบฟันทันที,,
เทคนิคการผ่ารากฟันเทียมแบบต่างๆ,"รากเทียมมีกี่ชนิด 

รากเทียมแบ่งได้เป็น 3 ชนิดหลักและการใช้แต่ละชนิดจะขึ้นอยู่กับสภาพภายในช่องปากและความจำเป็น 

การฝังรากเทียมโดยทั่วไป (Conventional implant)
สำหรับการทำฟันรากเทียมชนิดนี้พบว่ามีข้อจำกัดน้อยมากหากมีการวางแผนการรักษาไว้อย่างดี ปัญหาที่พบได้บ่อยคือ คนไข้บางรายมีปริมาณของกระดูกที่น้อยมากๆ ในบริเวณที่จะประสงค์จะทำการฝังรากเทียม ดังนั้นจึงต้องมีการปลูกกระดูกก่อนและคนไข้บางรายอาจมีเหตุให้ปลูกกระดูกไม่ได้
การฝังรากเทียมทันทีหลังจากทำการถอนฟันธรรมชาติออก (Immediate implant)
การทำฟันแบบรากเทียมด้วยวิธีนี้สามารถช่วยลดขั้นตอนและระยะเวลาการทำลงได้อย่างมากและยังช่วยลดการละลายของกระดูก ลดความเสี่ยงในการการเกิดเหงือกร่น อย่างไรก็ตามคนไข้ที่จะสามารถทำรากเทียมชนิดนี้ได้จำเป็นต้องมีปริมาณกระดูกเพียงพอให้รากเทียมสามารถยึดได้และจะต้องไม่พบพยาธิสภาพที่ปลายรากฟันในตำแหน่งฟันที่จะถอน โดยตำแหน่งฟันที่จะทำการใช้ได้คือฟันหน้าหรือฟันกรามน้อย
การต่อส่วนของทันตกรรมประดิษฐ์ (Immediate loaded implant)
การทำรากเทียมชนิดนี้คือการทำครอบฟันทั้งแบบชั่วคราวหรือถาวรไปที่รากเทียมทันทีที่ทำการฝังรากเทียม ข้อดีของการใส่รากฟันเทียมวิธีนี้คือจะช่วยร่นระยะเวลาของการรักษาลงไปได้ค่อนข้างเยอะ และยังดูสวยงามเพราะคนไข้จะมีฟันอยู่ตลอดเวลาในทางกลับกันก็ยังมีข้อจำกัดอีกมากหากจะใช้วิธีนี้
",,https://www.medparkhospital.com/disease-and-treatment/dental-implant
ข้อห้ามหลังการผ่าตัดรากฟันเทียม,ห้ามดื่มสุรา ของมึนเมา หรือรับประทานอาหารที่มีรสเผ็ดจัด หรือร้อนจัด ห้ามสูบบุหรี่,,
ผลข้างเคียงหลังการผ่าตัดรากฟันเทียม,มีอาการเจ็บในช่วง2-3วันแรกรวมไปถึงเหงือกบวม,,
