Question,Answer,NOTE,Ref
เหงือกร่นคืออะไร,เหงือกร่น คือการที่เหงือกรอบๆ ฟัน ค่อยๆ เลื่อนตัวจากตำแหน่งปกติ และอาจเผยให้เห็นรากฟันที่อยู่ด้านล่าง,,
ข้อห้ามหลังการผ่าเหงือก,หลีกเลี่ยงการรับประทานอาหารจนกว่ายาชาจะหมดฤทธิ์ เพราะอาจจะกัดริมฝีปาก แก้มหรือลิ้นได้ หลังจากนั้นอาจเริ่มรู้สึกมีอาการปวด สามารถทานยาแก้ปวดตามคำแนะนำของทันตแพทย์ หลีกเลี่ยงเครื่องดื่มแอลกอฮอล์และการสูบบุหรี่จนกว่าจะถึงเวลานัดหมายครั้งถัดไป ไม่แนะนำให้สูบบุหรี่ในช่วง 7-14 วันหลังการผ่าตัด รับประทานอาหารอ่อนๆ หลีกเลี่ยงการทานอาหารที่มีรสจัดหรือการขบเคี้ยวอาหารที่แข็งและกรุบกรอบ เพราะเหงือกที่เพิ่งได้รับการผ่าตัดตกแต่งเหงือกจะยังเป็นแผลอยู่,,
ผ่าเสร็จเสียวฟันปกติไหม,หลังตัดเหงือกแล้ว คุณอาจมีอาการเสียวฟันได้ง่าย เนื่องจากมีการเปลี่ยนแปลงตำแหน่งของเนื้อเยื่อรอบๆ เหงือก,,
ผลข้างเคียงหลังการผ่าเหงือก,"หลังจากที่ได้รับการผ่าตัดแต่งเหงือกแล้วที่เหงือกจะมีแผลจากการผ่าตัดจากตกแต่งเหงือกอาจจะเกิดการอักเสบได้ 
ซึ่งก็จะเป็นลักษณะของแผลตัดแต่งเหงือกขนาดเล็ก ที่จะสามารถหายได้เองประมาณ 1 สัปดาห์ ไม่ทำให้ยิ้มเห็นเหงือกส่วนเกินได้อีก",,
สามารถกินอะไรได้บ้าง / อาหารที่ควรหลีกเลี่ยง,รับประทานอาหารอ่อนๆ หลีกเลี่ยงการทานอาหารที่มีรสจัดหรือการขบเคี้ยวอาหารที่แข็งและกรุบกรอบ เพราะเหงือกที่เพิ่งได้รับการผ่าตัดตกแต่งเหงือกจะยังเป็นแผลอยู่,,
ปลูกเหงือกคืออะไร,"การตกแต่งเหงือก หรือ ปลูกเหงือก คือการรักษาเหงือกที่มีปัญหาต่างรูปแบบกันไป 
โดยการตกแต่งเหงือกจะช่วยในรายที่มีเหงือกมาก ไม่สวยงาม เนื้อเหงือกที่มีจำนวนเยอะจนเกินไป ต้องการตัดเหงือก และตกแต่งเหงือกให้สวยงาม เหมาะสมกับการใช้งาน ",,
ยาชากี่เข็ม,โดยอาจฉีดเพียง 1 เข็ม หรือมากกว่า ขึ้นอยู่กับผู้ป่วย,,
ต้องเตรียมตัวก่อนผ่าตัดอย่างไร,"ควรตรวจสุขภาพฟันอย่างละเอียด หากมีหินปูน ควรขูดหินปูนก่อน ทำการรักษา 2 สัปดาห์และมีสภาพเหงือกอักเสบให้น้อยที่สุด 
ทำการเอกซเรย์เพื่อประเมินระดับกระดูก หากมีโรคประจำตัว หรือมียาที่ทานประจำ รวมถึงการสูบบุหรี่ ควรปรึกษาแพทย์ก่อนเริ่มทำการรักษา",,
ยาชาหายจะเจ็บมั้ย,ส่วนใหญ่จะแล้วแต่บุคคล แต่จะแนะนำว่าถ้ามีอาการปวดหลังจากที่ยาชาหมดฤทธิ์แล้วนั้นให้รับประทานยาแก้ปวดเพื่อบรรเทาอาการ แต่ถ้ารู้สีกปวดมากกว่าปกติควรปรีกษาแพทย์,,
แปลงฟันยังไงหลังผ่าเหงือก,สามารถทำความสะอาดในช่องปากได้ตามปกติ โดยหลีกเลี่ยงการบ้วนปาก แปรงฟัน และใช้ไหมขัดฟันบริเวณผ่าตัดภายใน 24 ชั่วโมงแรก,,
ติดเชื้อมีอาการอย่างไร,อาจเกิดลักษณะเหงือกบวมผิดปกติ และ/หรือร่วมกับอาการอ้าปากได้น้อย และกลืนลำบาก,,
จะกินข้าวไม่ได้กี่วัน,หลีกเลี่ยงการรับประทานอาหารจนกว่ายาชาจะหมดฤทธิ์ เพราะอาจจะกัดริมฝีปาก แก้มหรือลิ้นได้,,
หลังการผ่าตัดใส่รีเทนเนอร์ได้ปกติมั้ย,สามารถใส่ได้ตามปกติ แต่ให้ระมัดระวังรีเทนเนอร์กดบริเวณแผลผ่าตัด,,
ถ้าใกล้เส้นประสาทอันตรายมากมั้ย,,,
หลังผ่าตัดต้องแปรงฟันใกล้แผลมั้ย,สามารถทำความสะอาดในช่องปากได้ตามปกติ โดยหลีกเลี่ยงการบ้วนปาก แปรงฟัน และใช้ไหมขัดฟันบริเวณผ่าตัดภายใน 24 ชั่วโมงแรก,,
ความเสี่ยงที่น่าจะเกิด,"หลังตัดเหงือก หากคนไข้ไม่ดูแลสุขภาพช่องปาก อาจนำไปสู่โรคปริทันต์ได้ เช่นเหงือกอักเสบ เหงือกร่น 
ความเสี่ยงสูงสุดของการตัดเหงือกคือ การติดเชื้อทั้งในเหงือกเอง หรือการติดเชื้อไปยังอวัยวะอื่นๆ ผู้ป่วยที่อยู่ในกลุ่มเสี่ยงต่อการติดเชื้อคือ ผู้ที่มีโรคเกี่ยวกับลิ้นหัวใจ หรือเคยเปลี่ยนลิ้นหัวใจมาก่อน 
ผู้ป่วยที่มีปัญหาเกี่ยวกับภูมิคุ้มกัน หรือกินยากดภูมิคุ้มกันอยู่",,
มีกลิ่นปากเหม็นปกติมั้ย,กลิ่นปากอาจเกิดขึ้นได้จากแผลที่กำลังจะหาย เนื้อเยื่อบางส่วนถูกเปลี่ยนแปลงทำให้เกิดกลิ่นไม่พึงประสงค์ได้,,
ต้องประคบร้อนหรือเย็นก่อน,"สามารถประคบน้ำแข็งที่บริเวณที่จะทำการผ่าตัด (ไม่ใช่การอมน้ำแข็ง) เพื่อช่วยลดอาการบวมของใบหน้า โดยการประคบ 15 นาทีและหยุดพัก 15 นาทีสลับกัน 
การประคบเย็นจะทำเฉพาะในวันที่ทำการผ่าตัดเท่านั้น หลังผ่าตัด 3-4 วัน ให้ประคบอุ่น โดยการประคบ 20 นาที และหยุดพัก 20 นาที จะช่วยลดอาการบวมที่เกิดขึ้นเล็กน้อยได้",,
