Question,Answer,NOTE,Ref
แผลจากการผ่าฟันคุดกี่วันหาย,แผลจากการผ่าฟันคุดกี่วันหายแผลจะหายภายใน2สัปดาห์ แต่อาจจะนานขึ้นหากเป็นการผ่าฟันคุดที่ยาก,,
ผ่าฟันคุดอันตรายหรือไม่,อันตรายจากการผ่าฟันคุดนั้นอยู่ในระดับต่ำ,,
หลังการผ่าฟันคุดใส่รีเทนเนอร์ได้ปกติมั้ย,สามารถใส่รีเทนเนอร์ได้ แต่ให้ระมัดระวังรีเทนเนอร์ไปกดบริเวณแผลผ่าฟันคุด ,,
ถ้าฟันคุดใกล้เส้นประสาทอันตรายมากไหม,ไม่มีอันตรายถึงชีวิต เป็นความเสี่ยงที่อาจเกิดอาการชาบริเวณริมฝีปากล่างและคางหลังผ่าฟันคุดได้,,
หลังผ่าฟันคุดแปรงฟันใกล้แผลได้มั้ย,สามารถแปรงฟันได้ตามปกติแต่ควรระมัดระวังบริเวณแผล,,
ต้องประคบร้อนหรือเย็นหลังผ่าฟันคุด, ควรประคบเย็นบริเวณด้านนอกปากบริเวณที่ใกล้แผลผ่าตัด,,
ต้องเตรียมตัวก่อนถอนฟันคุดอย่างไร,คสรปรึกษาแพทย์ก่อนหากมีโรคประจำตัว วัดความดัน ทานอาหารให้เรียบร้อย งดสูบบุหรี่และงดดื่มแอลกอฮอล์,,
การผ่าฟันคุดจะโดนเส้นประสาทมั้ย,,,
ขั้นตอนและวิธีการผ่าฟันคุด,"1. ตรวจสอบลักษณะของฟันด้วยการ X-ray เพื่อวางแผนการรักษา
2. ทันตแพทย์จะทำการฉีดยาชาก่อนทำการถอนหรือผ่า
3. ทำการผ่าฟันคุด
4. ทำความสะอาดแผล
5. ทำการเย็บแผล
6. กัดผ้าก๊อซ
7. ทันตแพทย์จะทำการแนะนำการดูแลตัวเองหลังการผ่าตัดฟันคุด",,
ฟันคุดต้องขึ้นแบบไหนถึงจำเป็นต้องผ่า,ฟันคุดที่มีเหงือกคลุมหรือฟันคุดที่มีกระดูกคลุม,,
สาเหตุฟันคุดเกิดจากอะไรบ้าง,ฟันคุกสามารถเกิดขึ้นได้จากหลายสาเฟตุ เช่นฟันติดอยู่ภายใต้เหงือกหรือใต้แนวกระดูก แนวการงอกหรือรูปร่างของฟันเอียง หรือช่องปากมีพื้นที่ไม่เพียงพอ,,
